[2023-07-15T22:58:20+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_WORLD_LOADED; game type NONE (11)
[2023-07-15T22:58:20+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_MAP_LOADED; game type NONE (11)
[2023-07-15T22:58:20+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_MAP_UNLOADED; game type NONE (11)
[2023-07-15T22:58:20+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_WORLD_UNLOADED; game type NONE (11)
[2023-07-16T22:39:37+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2023-07-16T22:39:37+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2023-07-16T23:16:17+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2023-07-16T23:16:17+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2023-07-16T23:16:36+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_WORLD_LOADED; game type NONE (11)
[2023-07-16T23:16:37+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_MAP_LOADED; game type NONE (11)
[2023-07-16T23:16:37+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_MAP_UNLOADED; game type NONE (11)
[2023-07-16T23:16:37+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_WORLD_UNLOADED; game type NONE (11)
[2023-07-16T23:17:40+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2023-07-16T23:17:40+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2023-07-16T23:17:47+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2023-07-16T23:17:47+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2023-07-16T23:18:06+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_WORLD_LOADED; game type NONE (11)
[2023-07-16T23:18:06+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_MAP_LOADED; game type NONE (11)
[2023-07-16T23:18:06+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_MAP_UNLOADED; game type NONE (11)
[2023-07-16T23:18:06+0800] DFHack 50.08-r4-0-geff17556 on Windows; cwd md5: 4b8334b882; save: region4; SC_WORLD_UNLOADED; game type NONE (11)
